,COMMENT,Positivity,Negativity,Neutrality,Compound
43,Felt Good,0.744,0.0,0.256,0.4404
44,Silly,1.0,0.0,0.0,0.0258
45,We loved it!!,0.692,0.0,0.308,0.6688
46,Grateful,1.0,0.0,0.0,0.4588
47,It is very important and useful to learn that I'm able to forgive; and that it is good for me. ,0.391,0.0,0.609,0.8503
48,nice,1.0,0.0,0.0,0.4215
50,"comfortable
relaxed
happy
mad
in the jungle",0.622,0.195,0.183,0.7906
52,I loved it!,0.807,0.0,0.193,0.636
53,Students were calmed and felt good!,0.592,0.0,0.408,0.6996
54,"For my students in special ed, the battery of questions in this recording would be very annoying I think. ",0.124,0.138,0.738,-0.0754
55,ok,1.0,0.0,0.0,0.296
56,Mindful,0.0,0.0,1.0,0.0
57,"Scholars report feeling mindful, calm, and relaxed.",0.636,0.0,0.364,0.7184
58,Mindful ,0.0,0.0,1.0,0.0
59,it was very calm.  I loved it!,0.638,0.0,0.362,0.7943
60,Love it!,0.818,0.0,0.182,0.6696
61,l like when we learn mindfulness every day!,0.318,0.0,0.682,0.4199
62,Calm ,1.0,0.0,0.0,0.3182
63,Calm,1.0,0.0,0.0,0.3182
64,Happy,1.0,0.0,0.0,0.5719
65,Felt Good,0.744,0.0,0.256,0.4404
66,The best part of breathing is that it makes me feel relaxed and calm.,0.469,0.0,0.531,0.8658
67,Awesome!,1.0,0.0,0.0,0.6588
68,Felt Good ,0.744,0.0,0.256,0.4404
69,It is too hard to stretch with eyes closed in a confined space like a classroom. Too much thinking about how to adapt the instructions to your setting to allow your mind to really get relaxed/mindful.,0.12,0.038,0.842,0.4588
70,We loved it,0.661,0.0,0.339,0.5994
71,"nice
",1.0,0.0,0.0,0.4215
72,This one was just kind of weird for me. ,0.0,0.199,0.801,-0.2484
73,"So informative!
",0.0,0.0,1.0,0.0
74,"calm, felt good",0.839,0.0,0.161,0.6369
75,"Great neck stretch, very relaxing.",0.717,0.0,0.283,0.8221
76,Excelente!!!!,0.0,0.0,1.0,0.0
77,A lot to listen to.,0.0,0.0,1.0,0.0
78,I can use these transitions anytime I want to help me calm down.,0.441,0.0,0.559,0.6486
79,MIndful,0.0,0.0,1.0,0.0
80,I wish I could choose all of them but it was mostly calming so I'm going to choose that one.,0.252,0.0,0.748,0.6597
81,Calm,1.0,0.0,0.0,0.3182
82,Calm,1.0,0.0,0.0,0.3182
83,happy,1.0,0.0,0.0,0.5719
84,Mindful,0.0,0.0,1.0,0.0
86,Very relaxing! ,0.791,0.0,0.209,0.5838
87,calm,1.0,0.0,0.0,0.3182
88,It was good.  I like doing the sharkfin.,0.519,0.0,0.481,0.6597
91,"good job
shania",0.592,0.0,0.408,0.4404
92,Awesome,1.0,0.0,0.0,0.6249
93,happy,1.0,0.0,0.0,0.5719
94,uyjetyjdyfjfyjfyhfth se,0.0,0.0,1.0,0.0
95,Calm and Love it!,0.773,0.0,0.227,0.7777
96,Great!,1.0,0.0,0.0,0.6588
97,Felt Good,0.744,0.0,0.256,0.4404
98,Really good *****,0.615,0.0,0.385,0.4927
99,"I thought when I get home will my phone be fixed, it was hard to focus on the practice.  At first it was hard to focus. Then I got calm and began to focus.  Being in silence felt really relaxing. ",0.139,0.067,0.793,0.6115
100,Grateful ,1.0,0.0,0.0,0.4588
101,Sound did not work today!,0.0,0.0,1.0,0.0
102,more tired than calm?,0.331,0.412,0.258,-0.1604
103,"We love you, too!!!",0.629,0.0,0.371,0.7249
104,Very good!,0.777,0.0,0.223,0.54
105,fSEDF,0.0,0.0,1.0,0.0
106,345qy5q46,0.0,0.0,1.0,0.0
107,My students are quiet right now so I am grateful.,0.291,0.0,0.709,0.507
108,"I laughed at the intro and outro but that's not the point. (LOL)
Felt good, relaxed, I love it! :)))",0.537,0.0,0.463,0.9534
109,it did not help. This made me feel constant pain.,0.0,0.41,0.59,-0.6765
110,Felt good,0.744,0.0,0.256,0.4404
111,happy,1.0,0.0,0.0,0.5719
112,felt good,0.744,0.0,0.256,0.4404
113,Good,1.0,0.0,0.0,0.4404
114,"We were interrupted, and it was hard to take it up again.",0.0,0.265,0.735,-0.3818
115,Thank you for a wonderful experience!,0.684,0.0,0.316,0.7574
116,Love it!,0.818,0.0,0.182,0.6696
117,seems a bit challenging to my 2-3-year-olds.,0.242,0.0,0.758,0.1531
118,My Mindfulness experience today was pretty good.,0.55,0.0,0.45,0.7269
119,Love Inner Explorer - I will be using this in my class!,0.333,0.0,0.667,0.6696
121,thank you,0.714,0.0,0.286,0.3612
122,"g
",0.0,0.0,0.0,0.0
123,Calm,1.0,0.0,0.0,0.3182
124,The best part of being kind to others is showing them that you care.,0.495,0.0,0.505,0.8957
125,Made us smile.,0.556,0.0,0.444,0.3612
126,Amazing!,1.0,0.0,0.0,0.6239
127,CALM,1.0,0.0,0.0,0.3182
128,space documentaries,0.0,0.0,1.0,0.0
129,informative,0.0,0.0,1.0,0.0
130,It felt really good.,0.516,0.0,0.484,0.4927
131,feel energized ,0.767,0.0,0.233,0.5106
132,This activity made us feel calm and relax.,0.464,0.0,0.536,0.6369
133,Mindful,0.0,0.0,1.0,0.0
134,Closing your eyes and breathing in and out feels nice.,0.237,0.0,0.763,0.4215
135,ok,1.0,0.0,0.0,0.296
136,Mindful,0.0,0.0,1.0,0.0
137,Awesome,1.0,0.0,0.0,0.6249
138,Great,1.0,0.0,0.0,0.6249
139,Thanks Will,0.744,0.0,0.256,0.4404
140,The best part of deep belly breathing is the feeling of calm I got.,0.444,0.0,0.556,0.7906
141,Felt Good ,0.744,0.0,0.256,0.4404
142,We could all think of examples of times we were afraid and then did it anyway and then felt confident. ,0.144,0.0,0.856,0.4939
143,Love it,0.808,0.0,0.192,0.6369
144,calming!,1.0,0.0,0.0,0.4574
145,good,1.0,0.0,0.0,0.4404
146,great habit to build,0.577,0.0,0.423,0.6249
147,I felt relaxed and it reminded me of when I went to the forest.,0.225,0.0,0.775,0.4939
148,Grateful ,1.0,0.0,0.0,0.4588
149,"Mia Leal said, ""I felt good.""",0.0,0.306,0.694,-0.296
150,"While this wasn't my favorite, it was effective.  Angelina was right, the first time through I was more distracted towards the end of the breathing and the 2nd time through it was easier.  The silence during the breathing...I had to peak because of the silence I thought the video had stopped.  I'd like more really low quiet music, almost meditating music, to carry me through that silence better.",0.143,0.123,0.734,0.3727
151,Felt Good ,0.744,0.0,0.256,0.4404
152,Calm ,1.0,0.0,0.0,0.3182
153,good,1.0,0.0,0.0,0.4404
154,Great video,0.804,0.0,0.196,0.6249
155,"As sounds became louder, felt them in different parts of body. Other sounds brought up pleasant memories, and of peaceful moments. Different bird sounds, created a kind of music to me. The sound of the rain, made me think of maracas.",0.187,0.0,0.813,0.8176
156,I felt  mindful and calm Gianni7,0.365,0.0,0.635,0.3182
157,Calm,1.0,0.0,0.0,0.3182
158,"too long
",0.0,0.0,1.0,0.0
159,Grateful,1.0,0.0,0.0,0.4588
160,Good,1.0,0.0,0.0,0.4404
161,Very helpful breathing techniques!!,0.551,0.0,0.449,0.5686
162,well,1.0,0.0,0.0,0.2732
163,"relaxed, calm
sleepy. tired
smelled baby flowers
butterflies 
good
anxious",0.459,0.268,0.273,0.5423
164,"Dear Ms. Houlihan,

I felt calm when we did the shark fin",0.353,0.0,0.647,0.5994
165,better,1.0,0.0,0.0,0.4404
166,"awesome
",1.0,0.0,0.0,0.6249
167,=),1.0,0.0,0.0,0.4939
168,belly breathing rocks,0.0,0.0,1.0,0.0
169,great,1.0,0.0,0.0,0.6249
170,No song whattttttttttttttttttttttttttttttttttttt!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!1,0.0,0.627,0.373,-0.5216
171,relaxed,1.0,0.0,0.0,0.4939
172,Gracias,0.0,0.0,1.0,0.0
173,"u
",0.0,0.0,0.0,0.0
174,Mindful,0.0,0.0,1.0,0.0
175,Excelente!,0.0,0.0,1.0,0.0
176,Calm,1.0,0.0,0.0,0.3182
177,Felt Good ,0.744,0.0,0.256,0.4404
178,"calm, felt good",0.839,0.0,0.161,0.6369
179,Calm and I liked this it was very calming. The sound was weird. Was that sound an astronaut music instrument? THis was so calming that I want to do it two million times.,0.321,0.043,0.635,0.8735
180,Some of the sounds were strange.,0.0,0.265,0.735,-0.2023
181,felt good,0.744,0.0,0.256,0.4404
182,Calm,1.0,0.0,0.0,0.3182
183,One student said that learning how to belly breath helped them get calm and relax.,0.286,0.0,0.714,0.6369
184,happy,1.0,0.0,0.0,0.5719
185,Nice and calm,0.836,0.0,0.164,0.6249
186,"Good practice
",0.744,0.0,0.256,0.4404
187,Love it!,0.818,0.0,0.182,0.6696
189,good,1.0,0.0,0.0,0.4404
190,Great!,1.0,0.0,0.0,0.6588
191,Loved the different sounds,0.565,0.0,0.435,0.5994
192,Calm and relaxing ,0.846,0.0,0.154,0.6705
193,Felt Good,0.744,0.0,0.256,0.4404
194,Happy,1.0,0.0,0.0,0.5719
195,"Scholars report feeling peaceful, calm, and relaxed. ",0.773,0.0,0.227,0.8481
196,Thinking about someone we loved.,0.494,0.0,0.506,0.5994
197,It felt nice to let out the bad feelings. It felt good to think about stuff that has happened to me.  It felt nice to forgive a time when friends and family were mad at me. ,0.283,0.138,0.579,0.7184
198,Mindful,0.0,0.0,1.0,0.0
199,Students did not enjoy this one. ,0.0,0.345,0.655,-0.3875
200,Nice technique,0.737,0.0,0.263,0.4215
201,Awesome!,1.0,0.0,0.0,0.6588
202,We liked picturing people who  love us,0.583,0.0,0.417,0.7906
203,happy,1.0,0.0,0.0,0.5719
204,We were calm today:),0.434,0.0,0.566,0.3182
205,Happy,1.0,0.0,0.0,0.5719
206,Students are starting to really feel the calm,0.268,0.0,0.732,0.3744
207,This activity helped us to feel calm and relax our minds.,0.366,0.0,0.634,0.6369
208,Great!,1.0,0.0,0.0,0.6588
209,Awesome!,1.0,0.0,0.0,0.6588
210,"relaxed
",1.0,0.0,0.0,0.4939
211,Calm ,1.0,0.0,0.0,0.3182
212,still a challenge to keep thoughts out and the mind from wandering.,0.115,0.0,0.885,0.0772
213,Calm,1.0,0.0,0.0,0.3182
214,Mindful,0.0,0.0,1.0,0.0
215,dsfasdf,0.0,0.0,1.0,0.0
216,It was Great!!,0.701,0.0,0.299,0.6892
217,The best part of anchoring was that it help me to relax.,0.521,0.0,0.479,0.8689
218,good calm and peaceful,0.894,0.0,0.106,0.8126
219,"I thought about exploration for a little while and then I said, ""Go away"" and it did.  A thought that tried to distract me was what am I going to do after school.  A thought that I had was about me leaving at 12:30pm. ",0.049,0.056,0.895,-0.0772
220,Felt Good,0.744,0.0,0.256,0.4404
222,I just really want cookies now :),0.535,0.0,0.465,0.5563
223,happy,1.0,0.0,0.0,0.5719
224,Mindful,0.0,0.0,1.0,0.0
225,Love it!,0.818,0.0,0.182,0.6696
226,Love it!,0.818,0.0,0.182,0.6696
227,Love It ,0.808,0.0,0.192,0.6369
228,"Increase volume of recording, please",0.605,0.0,0.395,0.5574
229,Great,1.0,0.0,0.0,0.6249
230,"Love it, calm, mindful, happy, fetl goot!",0.724,0.0,0.276,0.8883
231,nice,1.0,0.0,0.0,0.4215
232,It made me feel very calm ,0.341,0.0,0.659,0.3804
233,Helped us focus on different parts of our body.,0.0,0.0,1.0,0.0
234,Great way to start the day! Feeling ready!,0.635,0.0,0.365,0.8264
235,Love the experience today.,0.583,0.0,0.417,0.6369
236,Felt Good,0.744,0.0,0.256,0.4404
238,ok,1.0,0.0,0.0,0.296
239,Calm and relax,0.839,0.0,0.161,0.6369
240,Love Maureik! ,0.818,0.0,0.182,0.6696
241,The best part of the mindful minute is the feeling of calm I got.,0.444,0.0,0.556,0.7906
242,Felt Good,0.744,0.0,0.256,0.4404
243,ok,1.0,0.0,0.0,0.296
244,I liked it!,0.756,0.0,0.244,0.4753
245,Calm,1.0,0.0,0.0,0.3182
247,"felt good
",0.744,0.0,0.256,0.4404
248,my students felt relaxed,0.516,0.0,0.484,0.4939
250,"!
",0.0,0.0,0.0,0.0
251,"According to my students, it was great and very calming.  One student commented that they really enjoyed listening to the rain.  Another student said, ""I like it because the broke down the process of Sharkfin better than the previous video.""",0.304,0.053,0.643,0.9229
252,"Love it, grateful",0.878,0.0,0.122,0.802
253,"Dear Jake,
 
I loved the part where we close our eyes.

From, Room 804",0.371,0.0,0.629,0.7579
254,The practice was nice- thinking about my thoughts.  I'm grateful that we get to write in our journal after every time.  ,0.234,0.0,0.766,0.7003
255,Love it!,0.818,0.0,0.182,0.6696
256,It was fine,0.474,0.0,0.526,0.2023
257,Students were not fully focused.,0.0,0.375,0.625,-0.3401
258,and  calm too!,0.564,0.0,0.436,0.3802
259,Calm,1.0,0.0,0.0,0.3182
260,Great introduction,0.804,0.0,0.196,0.6249
261,Mindful,0.0,0.0,1.0,0.0
262,"calm
",1.0,0.0,0.0,0.3182
263,Calm ,1.0,0.0,0.0,0.3182
265,Helpful,1.0,0.0,0.0,0.4215
266,Nos gusta mucho porque nos relajamos.,0.0,0.0,1.0,0.0
267,"Love this narrator, Angelina. She's the best!",0.635,0.0,0.365,0.8655
268,The journal directions didn't really match the lesson.,0.0,0.0,1.0,0.0
269,you should make it a little bit more listening for hearing and make longer.have a good day!!!!,0.225,0.0,0.775,0.6209
270,Calm but too short ,0.355,0.0,0.645,0.1655
271,"mindful, happy, felt good, calm, grateful",0.856,0.0,0.144,0.8979
272,"It took me to my happy place, took negative energy away, relax and calm, and made sleepy.",0.412,0.139,0.449,0.743
273,ok,1.0,0.0,0.0,0.296
274,Grateful,1.0,0.0,0.0,0.4588
275,"good
",1.0,0.0,0.0,0.4404
276,We felt relaxed as well!,0.651,0.0,0.349,0.68
277,Mindful,0.0,0.0,1.0,0.0
278,It was calming. ,0.574,0.0,0.426,0.4019
279,Grateful ,1.0,0.0,0.0,0.4588
280,Gracias por poner la canción 2 veces. Siempre la tocamos 2 o más porque nos gusta escucharla. ,0.0,0.0,1.0,0.0
281,"great
",1.0,0.0,0.0,0.6249
282,Felt Good ,0.744,0.0,0.256,0.4404
283,happy ,1.0,0.0,0.0,0.5719
284,better for some,0.592,0.0,0.408,0.4404
285,calm,1.0,0.0,0.0,0.3182
286,Calm,1.0,0.0,0.0,0.3182
287,It was nice to hear no sounds.  I enjoyed being calm. Sitting quietly helps you notice a problem you may have. It helped with a problem for me. ,0.301,0.208,0.492,0.5267
288,Very relaxing lesson. Thank You!!,0.695,0.0,0.305,0.7808
289,"Mindful, happy, felt good, calm, grateful",0.856,0.0,0.144,0.8979
290,Trying to relax. ,0.592,0.0,0.408,0.4404
291,Mindful,0.0,0.0,1.0,0.0
292,calm,1.0,0.0,0.0,0.3182
294,beautiful,1.0,0.0,0.0,0.5994
295,Most of my students did well. Others are being obstinate and not listening to the taped recordings. ,0.109,0.114,0.777,-0.0258
296,Mindful,0.0,0.0,1.0,0.0
297,Paulo feels nothing.,0.0,0.0,1.0,0.0
298,lovely,1.0,0.0,0.0,0.5859
299,I feel calm,0.697,0.0,0.303,0.3182
300,Mindful,0.0,0.0,1.0,0.0
301,Students are relaxed and happy.,0.697,0.0,0.303,0.7845
302,Calm ,1.0,0.0,0.0,0.3182
303,Felt Good ,0.744,0.0,0.256,0.4404
304,Love it!,0.818,0.0,0.182,0.6696
305,I've been doing the practice 11 days in a row and it is really having a positive impact on my life - I'm more grounded during the day and I can easily slip into the practice each morning. Thank you so much for this incredible opportunity.,0.234,0.0,0.766,0.8905
306,Enjoyed it!,0.782,0.0,0.218,0.5562
307,"mindful, felt good, calm",0.722,0.0,0.278,0.6369
308,Mindful,0.0,0.0,1.0,0.0
309,felt good,0.744,0.0,0.256,0.4404
310,It was hard for children to focus and listen.,0.0,0.149,0.851,-0.1027
311,"Good
",1.0,0.0,0.0,0.4404
312,Felt Good,0.744,0.0,0.256,0.4404
313,"Lot's of times to reflect on when my body was telling me about how I was feeling about an event or a situation or a person in my life.
Thanks",0.15,0.0,0.85,0.5267
314,Mindful,0.0,0.0,1.0,0.0
316,Amazing,1.0,0.0,0.0,0.5859
317,I really likes how the inner explorer was calm and that it always starts with a shark fin.,0.278,0.0,0.722,0.659
318,Mindful,0.0,0.0,1.0,0.0
319,Calm,1.0,0.0,0.0,0.3182
320,"Good
",1.0,0.0,0.0,0.4404
321,Love it!,0.818,0.0,0.182,0.6696
322,Happy,1.0,0.0,0.0,0.5719
323,good ðð,0.744,0.0,0.256,0.4404
324,sad bad had glad,0.283,0.623,0.094,-0.5574
325,Great way to warm up!,0.677,0.0,0.323,0.7424
326,ok,1.0,0.0,0.0,0.296
327,Happy,1.0,0.0,0.0,0.5719
328,LOVE IT!,0.818,0.0,0.182,0.6696
329,Some students loved it and others felt it scared them.,0.264,0.196,0.541,0.25
330,Calm,1.0,0.0,0.0,0.3182
331,GRACIAS POR TODO. SI me siento bien. Me gustó la canción. Gracias por la música. Gracias por relajarme.,0.0,0.0,1.0,0.0
332,Awesome practice to start the day!!,0.484,0.0,0.516,0.6892
333,Calm,1.0,0.0,0.0,0.3182
335,Happy,1.0,0.0,0.0,0.5719
336,Thank you!,0.736,0.0,0.264,0.4199
337,Calm,1.0,0.0,0.0,0.3182
338,I imagined the smell of chocolate chip cookies being baked.,0.0,0.0,1.0,0.0
339,thank you,0.714,0.0,0.286,0.3612
340,students loved it,0.661,0.0,0.339,0.5994
341,"it was very happy , relaxful, quiet. ",0.444,0.0,0.556,0.6115
342,"good
",1.0,0.0,0.0,0.4404
343,Mindful,0.0,0.0,1.0,0.0
344,happy,1.0,0.0,0.0,0.5719
345,"I was so relaxed, I almost fell asleep - JM
I did not want to get back up - MM
I did not want to open my eyes back up HL
I was so relaxed and calm - IS
It felt good - RL",0.284,0.056,0.661,0.9002
346,"Mindful, Felt Good, Love it!",0.711,0.0,0.289,0.8122
347,mindful,0.0,0.0,1.0,0.0
348,Peaceful,1.0,0.0,0.0,0.4939
350,Mindful,0.0,0.0,1.0,0.0
351,The beating heart made me grateful for my body and renewed my promised to care for it the best I can.,0.417,0.097,0.485,0.872
352,Felt Good,0.744,0.0,0.256,0.4404
353,check in,0.0,0.0,1.0,0.0
354,Happy,1.0,0.0,0.0,0.5719
355,Much better ,0.744,0.0,0.256,0.4404
356,happy,1.0,0.0,0.0,0.5719
357,The students are very charged up due to the holiday coming up.,0.183,0.141,0.676,0.1548
358,Love it!,0.818,0.0,0.182,0.6696
359,Calm,1.0,0.0,0.0,0.3182
360,"Natalie Rangel said, "" I feel good.""",0.0,0.0,1.0,0.0
361,Mindful ,0.0,0.0,1.0,0.0
362,"good
",1.0,0.0,0.0,0.4404
363,"Dear Ms. Houlihan, 

I loved the part of the lesson when I was thinking about filling up space.

From, Room 804",0.277,0.0,0.723,0.7579
364,Love it!,0.818,0.0,0.182,0.6696
365,Love it!,0.818,0.0,0.182,0.6696
366,Mindful,0.0,0.0,1.0,0.0
367,"We felt happy, good and calm :)",0.799,0.0,0.201,0.8979
368,The senses appealed to the sounds and made us feel calm and very relaxed.,0.326,0.0,0.674,0.6997
369,The students enjoyed the breathing and acceptance.,0.558,0.0,0.442,0.743
370,Mindful,0.0,0.0,1.0,0.0
371,Helped stress in neck,0.0,0.483,0.517,-0.4215
372,"happy
",1.0,0.0,0.0,0.5719
373,mind,0.0,0.0,1.0,0.0
374,We liked moving our legs,0.412,0.0,0.588,0.4215
375,"great
",1.0,0.0,0.0,0.6249
376,The students enjoyed learning about taste.,0.398,0.0,0.602,0.5106
377,"today I am feeling a very heavy heart and as much as the guided voice reminds us to breath in certain emotion and feeling so we earn another- I am still left heavy and sad. I wish I had taken these breaths yesterday, maybe I wouldnt be feeling heavy today.",0.185,0.062,0.754,0.4939
378,N/A ,0.0,0.0,1.0,0.0
379,Happy,1.0,0.0,0.0,0.5719
380,Most of the students felt calm. ,0.315,0.0,0.685,0.3182
381,"calm, grateful, love it!!!! 
",0.914,0.0,0.086,0.8926
382,We had a bit of trouble keeping our mind focused not understanding what we were supposed  to do with the train. we were confused?,0.094,0.181,0.725,-0.34
383,Calm and relaxing ,0.846,0.0,0.154,0.6705
384,Groovy,0.0,0.0,1.0,0.0
385,"It felt calming to relax and think about how people change.  Things that have changed in my life is school, it's gotten a lot more fun.  Something that changed in my life was the sleep schedule: it was 8pm-7am now it is 9pm to 5am.",0.183,0.0,0.817,0.8479
386,"Scholars report feeling mindful, peaceful, and calm.",0.636,0.0,0.364,0.7184
387,mind,0.0,0.0,1.0,0.0
388,"Three things I can do that is nice for someone: compliment them, invite them to do something or hold the door for someone.  Be nice to my teacher, helping others when they fall and do my work.  I can help my mom with house chores, compliment others and let my brother play longer than me. ",0.315,0.0,0.685,0.9565
389,Thank you,0.714,0.0,0.286,0.3612
390,Calm,1.0,0.0,0.0,0.3182
391,Calm,1.0,0.0,0.0,0.3182
393,"Scholars report feeling peaceful, mindful, and relaxed.",0.664,0.0,0.336,0.7845
394,Love it!,0.818,0.0,0.182,0.6696
395,Calm ,1.0,0.0,0.0,0.3182
396,Felt calming,0.73,0.0,0.27,0.4019
397,Happy,1.0,0.0,0.0,0.5719
398,Felt Good ,0.744,0.0,0.256,0.4404
399,It feels peaceful. ,0.615,0.0,0.385,0.4939
400,Calm ,1.0,0.0,0.0,0.3182
401,great\,0.0,0.0,1.0,0.0
402,Mindful,0.0,0.0,1.0,0.0
403,..,0.0,0.0,1.0,0.0
404,Mindful,0.0,0.0,1.0,0.0
405,Love it!,0.818,0.0,0.182,0.6696
406,thanks,1.0,0.0,0.0,0.4404
407,It made the class feet calm.,0.315,0.0,0.685,0.3182
408,"CALM
",1.0,0.0,0.0,0.3182
409,"Angelina, thank you for the mindful lesson on ""sight""!
Blessings!",0.451,0.0,0.549,0.7639
410,Students enjoyed the video.,0.524,0.0,0.476,0.5106
411,calm,1.0,0.0,0.0,0.3182
412,Very relaxing,0.777,0.0,0.223,0.5413
413,Feeling relax and happy,0.89,0.0,0.11,0.7964
414,relaxing ,1.0,0.0,0.0,0.4939
415,Fire,0.0,1.0,0.0,-0.34
416,Good!,1.0,0.0,0.0,0.4926
417,calm,1.0,0.0,0.0,0.3182
418,I really needed this mindfulness today im so grateful,0.356,0.0,0.644,0.5949
419,love it,0.808,0.0,0.192,0.6369
420,Calm,1.0,0.0,0.0,0.3182
421,credits from the Notebook,0.455,0.0,0.545,0.3612
422,"Scholars report feeling good, peaceful, and comfortable.",0.784,0.0,0.216,0.872
423,It was awesome.,0.672,0.0,0.328,0.6249
424,"Good
",1.0,0.0,0.0,0.4404
426,good,1.0,0.0,0.0,0.4404
427,Beautiful music.,0.796,0.0,0.204,0.5994
428,Felt Good ,0.744,0.0,0.256,0.4404
429,happy,1.0,0.0,0.0,0.5719
430,Happy ,1.0,0.0,0.0,0.5719
431,Mindful,0.0,0.0,1.0,0.0
432,Relaxing,1.0,0.0,0.0,0.4939
433,Love it!,0.818,0.0,0.182,0.6696
434,"This was awesome, love your video.
",0.675,0.0,0.325,0.8519
435,her voice was crispy,0.0,0.0,1.0,0.0
437,"We felt fidgety, excited, distracted, upset, embarrassed - maybe because of the hallway, the action, or other thoughts before Thanksgiving.",0.091,0.376,0.532,-0.7579
438,Mindful,0.0,0.0,1.0,0.0
439,ok,1.0,0.0,0.0,0.296
440,ok,1.0,0.0,0.0,0.296
441,mindful,0.0,0.0,1.0,0.0
442,"mindful,  happy",0.787,0.0,0.213,0.5719
443,"Gracias por  la música. Gracias por la cancion y por muchas cosas. Yo me gusto mucho y esta muy bonita esa cancion. Gracias por todo. Gracias Laura por la música. I love the video. Me gusto la cancion. Gracias por relajarme. Gracias por la cancion, me corazon iba a explotar. ",0.085,0.0,0.915,0.6369
444,tired,0.0,1.0,0.0,-0.4404
445,felt good,0.744,0.0,0.256,0.4404
446,It went well. ,0.512,0.0,0.488,0.2732
447,felt good,0.744,0.0,0.256,0.4404
448,Mindful,0.0,0.0,1.0,0.0
449,Very well ,0.705,0.0,0.295,0.3384
450,calming ,1.0,0.0,0.0,0.4019
451,Felt Good ,0.744,0.0,0.256,0.4404
452,Calm,1.0,0.0,0.0,0.3182
453,Felt Good ,0.744,0.0,0.256,0.4404
454,hi,0.0,0.0,1.0,0.0
455,"I felt very nice after my mindfulness
",0.382,0.0,0.618,0.4754
456,"This is so calming and I want to do this a trillion times. I'm sad that its the last day of school. I like this thing, it is purrrfect. ",0.231,0.095,0.674,0.5354
457,happy,1.0,0.0,0.0,0.5719
458,very relaxing,0.777,0.0,0.223,0.5413
459,Very relaxing,0.777,0.0,0.223,0.5413
460,Mindful,0.0,0.0,1.0,0.0
461,Mindful,0.0,0.0,1.0,0.0
462,calm,1.0,0.0,0.0,0.3182
463,"Dear Jake,

I loved the part when we sent the love to the person we don't like. 

From,

Room 804",0.385,0.076,0.539,0.8621
464,"It helps me calm down when I am upset, and when my head is full of stuff, to get ready to learn. I remember the song from my old class, it reminds me of Mrs. Shay",0.185,0.065,0.75,0.5859
465,Mindful ,0.0,0.0,1.0,0.0
466,I feel calm and relaxed. It felt nice to look at nature in my head. It felt good to realize that nature is pretty. ,0.444,0.0,0.556,0.9246
467,"Scholars report feeling peaceful, mindful, and relaxed. ",0.664,0.0,0.336,0.7845
469,"Thanks
",1.0,0.0,0.0,0.4404
