SCHOOL_ID,SCHOOL_NAME,ACTIVE_USER_SCORE_SCHOOL,USAGE_SCORE_SCHOOL,CWP_SCORE_SCHOOL,RE_SCORE_SCHOOL,E_SCORE_SCHOOL,ACTIVE_SCHOOL,SCORE_TYPE
5f2bca25ba0be61b0c1cca5f,LAUDERBACH (J. CALVIN) ELEMENTARY,12.0,29.0,22.0,46.0,27.0,1.0,26-50
5f2bca25ba0be61b0c1ccad5,LIBERTY ELEMENTARY,55.0,34.0,63.0,71.0,56.0,1.0,51-75
5f2bca25ba0be61b0c1ccb73,LOMA VERDE ELEMENTARY,29.0,29.0,33.0,40.0,33.0,1.0,26-50
5f2bca25ba0be61b0c1ccbae,LOS ALTOS ELEMENTARY,33.0,37.0,52.0,64.0,46.0,1.0,26-50
5f2bca26ba0be61b0c1ccd20,MARSHALL (THURGOOD) ELEMENTARY,22.0,33.0,37.0,70.0,40.0,1.0,26-50
5f2bca26ba0be61b0c1ccdb2,MCMILLIN (CORKY) ELEMENTARY,23.0,19.0,13.0,33.0,22.0,1.0,0-25
5f2bca26ba0be61b0c1ccf00,MONTGOMERY (JOHN J.) ELEMENTARY,27.0,26.0,42.0,53.0,37.0,1.0,26-50
5f2bca26ba0be61b0c1ccf77,MUELLER CHARTER (ROBERT L.),0.0,0.0,0.0,10.0,2.0,0.0,0-25
5f2bca27ba0be61b0c1cd13d,OLYMPIC VIEW ELEMENTARY,44.0,33.0,54.0,65.0,49.0,1.0,26-50
5f2bca27ba0be61b0c1cd19c,OTAY ELEMENTARY,24.0,24.0,21.0,35.0,26.0,1.0,26-50
5f2bca27ba0be61b0c1cd207,PALOMAR ELEMENTARY,0.0,28.0,18.0,59.0,26.0,1.0,26-50
5f2bca27ba0be61b0c1cd252,PARKVIEW ELEMENTARY,0.0,38.0,28.0,46.0,28.0,0.0,26-50
5f2bca28ba0be61b0c1cd475,RICE (LILIAN J.) ELEMENTARY,0.0,48.0,9.0,23.0,20.0,1.0,0-25
5f2bca28ba0be61b0c1cd54f,ROHR (FRED H.) ELEMENTARY,15.0,19.0,26.0,33.0,23.0,1.0,0-25
5f2bca29ba0be61b0c1cd59a,ROSEBANK ELEMENTARY,9.0,22.0,31.0,33.0,24.0,1.0,0-25
5f2bca29ba0be61b0c1cd5f6,SALT CREEK ELEMENTARY,0.0,26.0,14.0,47.0,22.0,1.0,0-25
5f2bca29ba0be61b0c1cd7e3,SILVER WING ELEMENTARY,25.0,32.0,48.0,63.0,42.0,1.0,26-50
5f2bca2aba0be61b0c1cd935,SUNNYSIDE ELEMENTARY,22.0,35.0,63.0,74.0,48.0,1.0,26-50
5f2bca2aba0be61b0c1cda47,TIFFANY (BURTON C.) ELEMENTARY,35.0,29.0,49.0,44.0,39.0,1.0,26-50
5f2bca2aba0be61b0c1cdb45,VALLE LINDO ELEMENTARY,25.0,30.0,37.0,46.0,34.0,1.0,26-50
5f2bca2aba0be61b0c1cdb90,VALLEY VISTA ELEMENTARY,0.0,36.0,1.0,28.0,16.0,0.0,0-25
5f2bca2aba0be61b0c1cdbc8,VETERANS ELEMENTARY,43.0,27.0,50.0,40.0,40.0,1.0,26-50
5f2bca2cba0be61b0c1cdc33,VISTA SQUARE ELEMENTARY,42.0,35.0,54.0,62.0,48.0,1.0,26-50
5f2bca2cba0be61b0c1cde16,WOLF CANYON ELEMENTARY,25.0,28.0,43.0,62.0,40.0,1.0,26-50
5f2bcad8ba0be61b0c1ea0c8,ROGERS (GREG) SCHOOL,17.0,26.0,18.0,24.0,21.0,1.0,0-25
5ffd7c9a469a86e28635f510,CAMARENA (ENRIQUE S.) ELEMENTARY,0.0,0.0,0.0,0.0,0.0,0.0,0-25
5ffd7cea469a86e28635f511,MURAOKA(SABURO) ELEMENTARY SCHOOL,29.0,29.0,48.0,57.0,41.0,1.0,26-50
60f524f9403198a149f729a5,DALY ACADEMY,0.0,0.0,0.0,25.0,6.0,0.0,0-25
